Function,Dimension,Accuracy,ps_vs_gb,ps_vs_ib,ib_vs_gb
f1,d10,0.5,+,-,+
f1,d10,0.6,-,-,-
f1,d10,0.7,-,-,N
f1,d10,0.8,-,-,-
f1,d10,0.9,N,N,N
f1,d10,1.0,N,N,N
f1,d30,0.5,+,-,+
f1,d30,0.6,-,-,N
f1,d30,0.7,-,-,-
f1,d30,0.8,-,-,-
f1,d30,0.9,-,N,-
f1,d30,1.0,-,+,-
f13,d10,0.5,+,-,+
f13,d10,0.6,-,-,-
f13,d10,0.7,-,N,-
f13,d10,0.8,-,+,-
f13,d10,0.9,-,+,-
f13,d10,1.0,-,+,-
f13,d30,0.5,+,-,+
f13,d30,0.6,-,-,-
f13,d30,0.7,-,-,-
f13,d30,0.8,-,N,-
f13,d30,0.9,-,+,-
f13,d30,1.0,-,+,-
f15,d10,0.5,+,-,+
f15,d10,0.6,-,N,-
f15,d10,0.7,-,N,-
f15,d10,0.8,-,+,-
f15,d10,0.9,N,+,-
f15,d10,1.0,+,+,-
f15,d30,0.5,+,-,+
f15,d30,0.6,-,-,N
f15,d30,0.7,-,-,-
f15,d30,0.8,-,-,-
f15,d30,0.9,N,+,-
f15,d30,1.0,+,+,-
f2,d10,0.5,+,N,+
f2,d10,0.6,-,N,-
f2,d10,0.7,-,+,-
f2,d10,0.8,-,+,-
f2,d10,0.9,-,+,-
f2,d10,1.0,+,+,-
f2,d30,0.5,-,N,-
f2,d30,0.6,-,N,-
f2,d30,0.7,-,+,-
f2,d30,0.8,-,+,-
f2,d30,0.9,-,+,-
f2,d30,1.0,+,+,-
f4,d10,0.5,+,-,+
f4,d10,0.6,-,-,-
f4,d10,0.7,-,-,-
f4,d10,0.8,-,-,-
f4,d10,0.9,-,-,-
f4,d10,1.0,-,+,-
f4,d30,0.5,+,-,+
f4,d30,0.6,-,-,-
f4,d30,0.7,-,-,-
f4,d30,0.8,-,-,-
f4,d30,0.9,-,-,-
f4,d30,1.0,-,+,-
f8,d10,0.5,+,-,+
f8,d10,0.6,-,-,-
f8,d10,0.7,-,-,-
f8,d10,0.8,-,-,-
f8,d10,0.9,-,N,-
f8,d10,1.0,+,+,-
f8,d30,0.5,+,-,+
f8,d30,0.6,-,-,N
f8,d30,0.7,-,-,-
f8,d30,0.8,-,N,-
f8,d30,0.9,-,+,-
f8,d30,1.0,+,+,-
